Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,ASIN
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODg2NDEyMTI0NDcwOjE2OTI2NDIzNjU6c3BfbXRmOjMwMDAxMjMzOTQzMjgzMjo6MDo6&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642365%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments  ","₹2,699",5.0 out of 5 stars,33,"HOEXL, SSRN Enterprises",B0C3J2RLHP
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODg2NDEyMTI0NDcwOjE2OTI2NDIzNjU6c3BfbXRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2FUPPERCASE-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642365%26sprefix%3Dba%252Caps%252C283%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","₹2,400",4.3 out of 5 stars,78,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0BXFDK5J2
https://www.amazon.in//Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-13,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black  ,"₹1,399",4.1 out of 5 stars,"5,852",,B09CQ5T3LN
https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-14,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel  ,₹899,4.3 out of 5 stars,"6,505","Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B07M9BRCQ5
https://www.amazon.in//GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-15,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black  ,₹199,3.7 out of 5 stars,"7,050","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B019HA8AYG
https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-16,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown  ,₹979,4.4 out of 5 stars,"6,040","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B07G4F6XFH
https://www.amazon.in//Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-17,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack  ,"₹2,099",4.5 out of 5 stars,"7,383","Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B07BZ5VC4H
https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-18,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER  ","₹1,399",4.2 out of 5 stars,664,"EXPERTS, China",B0BTD4FK9G
https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-19,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",₹398,4.1 out of 5 stars,"9,706",Korrun India Pvt. Ltd,B088XB5XY8
https://www.amazon.in//Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692642365&sprefix=ba%2Caps%2C283&sr=8-20,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley  ,"₹1,049",4.0 out of 5 stars,"8,320","Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",B097RJ22Q3
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NTU3ODg2NDEyMTI0NDcwOjE2OTI2NDIzNjU6c3BfYnRmOjIwMTI1ODk5OTIwNjk4OjowOjo&url=%2FUppercase-Professional-Backpack-Resistant-Sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642365%26sprefix%3Dba%252Caps%252C283%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","₹1,800",4.4 out of 5 stars,89,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0BWNBQXDZ
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU3NDY1OTc2OTQyMTE4OjE2OTI2NDIzNzU6c3BfYXRmX25leHQ6MjAxNjY4MDY4MzI4OTg6OjA6Og&url=%2FVeneer-Synthetic-Shoulder-Business-Backpack%2Fdp%2FB0C594SZQ7%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642375%26sprefix%3Dba%252Caps%252C283%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Veneer Synthetic Leather 30 Litre Casual 15.6 Inch Laptop Shoulder Business Travel Backpack for Unisex  ,"₹1,774", , ,"THE HUTCH ENTERPRISES, THE HUTCH ENTERPRISES D 27 NOIDA SECTOR 7 NOIDA (Emailid- thehutchenterprises27@gmail.com)",B0C594SZQ7
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU3NDY1OTc2OTQyMTE4OjE2OTI2NDIzNzU6c3BfYXRmX25leHQ6MjAxNjE5OTcyMzA1OTg6OjA6Og&url=%2FSPENZ-BAGS-Backpack-Raincover-Dark-Blue%2Fdp%2FB0C3RJP6ZM%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642375%26sprefix%3Dba%252Caps%252C283%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover  ",₹845,4.0 out of 5 stars,161,"Spenz Bags, Spenz Bags",B0C3RJP6ZM
https://www.amazon.in//ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-19,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs  ,₹499,3.9 out of 5 stars,"1,148","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B09TPX22NF
https://www.amazon.in//Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-20,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets  ,₹649,3.6 out of 5 stars,229,Half_Moon,B0C23Z9W18
https://www.amazon.in//Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-21,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps  ",₹839,4.3 out of 5 stars,"4,202",Lenovo,B08R7RPVJF
https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-22,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black  ,₹859,3.9 out of 5 stars,"1,025","Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B25Z8M2
https://www.amazon.in//Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-23,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls  ,₹839,4.0 out of 5 stars,"13,934","Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",B078GLXMDY
https://www.amazon.in//American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-24,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER  ","₹1,399",4.3 out of 5 stars,847,"EXPERTS, China",B0BTD4S4XF
https://www.amazon.in//Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-25,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty  ",₹735,4.1 out of 5 stars,"2,683",Lunar's,B08BP5CYDV
https://www.amazon.in//Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-26,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue  ,₹859,4.0 out of 5 stars,773,"Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",B09B28TKLG
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU3NDY1OTc2OTQyMTE4OjE2OTI2NDIzNzU6c3BfbXRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642375%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty  ","₹1,900",4.5 out of 5 stars,78,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0BR1C59R8
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU3NDY1OTc2OTQyMTE4OjE2OTI2NDIzNzU6c3BfbXRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642375%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","₹2,300",4.2 out of 5 stars,62,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0BSH4H4DB
https://www.amazon.in//ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-29,ADISA Light Weight Laptop Backpack 32 Ltrs  ,₹499,4.0 out of 5 stars,"6,089","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B07F3X45WZ
https://www.amazon.in//FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-30,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)  ","₹1,699",4.4 out of 5 stars,"2,313",Fatmug Designs,B084LF4RT5
https://www.amazon.in//ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-31,ADISA 31 Ltrs Casual Backpack School College Bag Pack  ,₹399,4.0 out of 5 stars,205,"ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",B0BX3QFVSM
https://www.amazon.in//Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-32,Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment  ,₹649,3.7 out of 5 stars,93,Half_Moon,B0C1NZLF67
https://www.amazon.in//WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-33,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags  ",₹599,4.0 out of 5 stars,"1,609","WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",B09QL66G55
https://www.amazon.in//FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-34,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls  ","₹1,329",4.1 out of 5 stars,693,"Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B0BSHBH9K2
https://www.amazon.in//WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-35,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags  ",₹599,4.0 out of 5 stars,"1,609","WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",B09QL81ZHB
https://www.amazon.in//Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1692642375&sprefix=ba%2Caps%2C283&sr=8-36,Arctic Fox 15 Liters Draw String Bag Lavender Backpack  ,₹209,4.2 out of 5 stars,"3,515","Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097..",B08L6Q9V1H
https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU3NDY1OTc2OTQyMTE4OjE2OTI2NDIzNzU6c3BfYnRmOjIwMDk3NTc5NTAxNzk4OjowOjo&url=%2FUppercase-Medium-Laptop-Backpack-2100Ebp1%2Fdp%2FB0B691HSL3%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642375%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,uppercase 14 Ltrs Medium (14.6 Inch) Laptop Backpack 2100EBP1 Roll Top Office College 3x More Water Repellent Sustainable Bags With Rainproof Zippers For Unisex  ,"₹1,000",4.2 out of 5 stars,179,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0B691HSL3
https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNjEwNTM5MDQ2MTUzOTg4OjE2OTI2NDIzODE6c3BfYXRmX25leHQ6MjAxNjE3NzMxODY4OTg6OjA6Og&url=%2FContacts-Unisex-Vintage-Backpack-Charging%2Fdp%2FB0C4PV38VB%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642381%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Contacts Unisex Vintage Travel Laptop Backpack with usb Charging Port Fits Upto 15.6 Inch Laptop - Black…  ,"₹1,199",3.8 out of 5 stars,"1,170",,B0C4PV38VB
https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNjEwNTM5MDQ2MTUzOTg4OjE2OTI2NDIzODE6c3BfYXRmX25leHQ6MjAxMDU0NTE4NTE1OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692642381%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty  ","₹1,800",4.4 out of 5 stars,89,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",B0BR1D4SL1
https://www.amazon.in//Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1692642381&sprefix=ba%2Caps%2C283&sr=8-35,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)  ,"₹1,115",4.4 out of 5 stars,"6,153","Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",B075MK4TXP
